precision,recall,f1,accuracy,mode,scenario,tamper_level,tp,fp,tn,fn,tamper_detection_rate
0.0,0.0,0.0,1.0,baseline,benign,0.0,0,0,1,0,0.0
0.0,0.0,0.0,1.0,trustaware,benign,0.0,0,0,1,0,0.0
0.0,0.0,0.0,0.0,baseline,benign,0.1,0,1,0,0,0.9032
0.0,0.0,0.0,0.0,trustaware,benign,0.1,0,1,0,0,0.871
0.0,0.0,0.0,0.0,baseline,benign,0.2,0,1,0,0,0.9375
0.0,0.0,0.0,0.0,trustaware,benign,0.2,0,1,0,0,0.9091
0.0,0.0,0.0,0.0,baseline,benign,0.3,0,1,0,0,0.8966
0.0,0.0,0.0,0.0,trustaware,benign,0.3,0,1,0,0,0.9375
1.0,1.0,1.0,1.0,baseline,pfcp_attack,0.0,1,0,0,0,0.0
1.0,1.0,1.0,1.0,trustaware,pfcp_attack,0.0,1,0,0,0,0.0
1.0,1.0,1.0,1.0,baseline,pfcp_attack,0.1,1,0,0,0,0.9062
1.0,1.0,1.0,1.0,trustaware,pfcp_attack,0.1,1,0,0,0,0.9032
1.0,1.0,1.0,1.0,baseline,pfcp_attack,0.2,1,0,0,0,0.9062
1.0,1.0,1.0,1.0,trustaware,pfcp_attack,0.2,1,0,0,0,0.8621
1.0,1.0,1.0,1.0,baseline,pfcp_attack,0.3,1,0,0,0,0.9706
1.0,1.0,1.0,1.0,trustaware,pfcp_attack,0.3,1,0,0,0,0.8621
1.0,1.0,1.0,1.0,baseline,session_anomaly,0.0,1,0,0,0,0.0
1.0,1.0,1.0,1.0,trustaware,session_anomaly,0.0,1,0,0,0,0.0
1.0,1.0,1.0,1.0,baseline,session_anomaly,0.1,1,0,0,0,0.9091
1.0,1.0,1.0,1.0,trustaware,session_anomaly,0.1,1,0,0,0,0.9091
1.0,1.0,1.0,1.0,baseline,session_anomaly,0.2,1,0,0,0,0.9394
1.0,1.0,1.0,1.0,trustaware,session_anomaly,0.2,1,0,0,0,0.9091
1.0,1.0,1.0,1.0,baseline,session_anomaly,0.3,1,0,0,0,0.9375
1.0,1.0,1.0,1.0,trustaware,session_anomaly,0.3,1,0,0,0,0.9375
